Date,Close Price,log.return
2010-07-18,0.09,
2010-07-19,0.08,-0.117783036
2010-07-20,0.07,-0.133531393
2010-07-21,0.08,0.133531393
2010-07-22,0.05,-0.470003629
2010-07-23,0.06,0.182321557
2010-07-24,0.05,-0.182321557
2010-07-25,0.05,0
2010-07-26,0.06,0.182321557
2010-07-27,0.06,0
2010-07-28,0.06,0
2010-07-29,0.07,0.15415068
2010-07-30,0.06,-0.15415068
2010-07-31,0.07,0.15415068
2010-08-01,0.06,-0.15415068
2010-08-02,0.06,0
2010-08-03,0.06,0
2010-08-04,0.06,0
2010-08-05,0.06,0
2010-08-06,0.06,0
2010-08-07,0.06,0
2010-08-08,0.06,0
2010-08-09,0.07,0.15415068
2010-08-10,0.07,0
2010-08-11,0.07,0
2010-08-12,0.07,0
2010-08-13,0.06,-0.15415068
2010-08-14,0.07,0.15415068
2010-08-15,0.07,0
2010-08-16,0.07,0
2010-08-17,0.07,0
2010-08-18,0.07,0
2010-08-19,0.07,0
2010-08-20,0.07,0
2010-08-21,0.07,0
2010-08-22,0.07,0
2010-08-23,0.06,-0.15415068
2010-08-24,0.06,0
2010-08-25,0.06,0
2010-08-26,0.06,0
2010-08-27,0.06,0
2010-08-28,0.06,0
2010-08-29,0.06,0
2010-08-30,0.06,0
2010-08-31,0.06,0
2010-09-01,0.06,0
2010-09-02,0.06,0
2010-09-03,0.06,0
2010-09-04,0.06,0
2010-09-05,0.06,0
2010-09-06,0.06,0
2010-09-07,0.06,0
2010-09-08,0.06,0
2010-09-09,0.06,0
2010-09-10,0.06,0
2010-09-11,0.06,0
2010-09-12,0.06,0
2010-09-13,0.06,0
2010-09-14,0.06,0
2010-09-15,0.06,0
2010-09-16,0.06,0
2010-09-17,0.06,0
2010-09-18,0.06,0
2010-09-19,0.06,0
2010-09-20,0.06,0
2010-09-21,0.06,0
2010-09-22,0.06,0
2010-09-23,0.06,0
2010-09-24,0.06,0
2010-09-25,0.06,0
2010-09-26,0.06,0
2010-09-27,0.06,0
2010-09-28,0.06,0
2010-09-29,0.06,0
2010-09-30,0.06,0
2010-10-01,0.06,0
2010-10-02,0.06,0
2010-10-03,0.06,0
2010-10-04,0.06,0
2010-10-05,0.06,0
2010-10-06,0.06,0
2010-10-07,0.07,0.15415068
2010-10-08,0.09,0.251314428
2010-10-09,0.09,0
2010-10-10,0.1,0.105360516
2010-10-11,0.09,-0.105360516
2010-10-12,0.09,0
2010-10-13,0.1,0.105360516
2010-10-14,0.1,0
2010-10-15,0.1,0
2010-10-16,0.1,0
2010-10-17,0.1,0
2010-10-18,0.1,0
2010-10-19,0.1,0
2010-10-20,0.1,0
2010-10-21,0.11,0.09531018
2010-10-22,0.1,-0.09531018
2010-10-23,0.11,0.09531018
2010-10-24,0.11,0
2010-10-25,0.13,0.167054085
2010-10-26,0.15,0.143100844
2010-10-27,0.19,0.236388778
2010-10-28,0.17,-0.111225635
2010-10-29,0.19,0.111225635
2010-10-30,0.2,0.051293294
2010-10-31,0.19,-0.051293294
2010-11-01,0.2,0.051293294
2010-11-02,0.19,-0.051293294
2010-11-03,0.19,0
2010-11-04,0.23,0.191055237
2010-11-05,0.26,0.122602322
2010-11-06,0.39,0.405465108
2010-11-07,0.34,-0.137201122
2010-11-08,0.24,-0.348306694
2010-11-09,0.21,-0.133531393
2010-11-10,0.24,0.133531393
2010-11-11,0.22,-0.087011377
2010-11-12,0.27,0.204794413
2010-11-13,0.28,0.036367644
2010-11-14,0.28,0
2010-11-15,0.27,-0.036367644
2010-11-16,0.22,-0.204794413
2010-11-17,0.23,0.044451763
2010-11-18,0.27,0.16034265
2010-11-19,0.28,0.036367644
2010-11-20,0.28,0
2010-11-21,0.28,0
2010-11-22,0.29,0.03509132
2010-11-23,0.28,-0.03509132
2010-11-24,0.28,0
2010-11-25,0.28,0
2010-11-26,0.28,0
